pipeline,target,f1,accuracy,n_samples
Lorentzian+PLI,valence,0.8571428571428571,0.75,120
Lorentzian+PLV,arousal,0.888888888888889,0.8,120
Lorentzian+PLV,dominance,0.9237668161434976,0.8583333333333333,120
Lorentzian+PLV,valence,0.8571428571428571,0.75,120
RelativeBandpower+AEC,arousal,0.888888888888889,0.8,120
RelativeBandpower+AEC,dominance,0.9237668161434976,0.8583333333333333,120
RelativeBandpower+AEC,valence,0.8571428571428571,0.75,120
RelativeBandpower+Coherence,arousal,0.888888888888889,0.8,120
RelativeBandpower+Coherence,dominance,0.9237668161434976,0.8583333333333333,120
RelativeBandpower+Coherence,valence,0.8571428571428571,0.75,120
RelativeBandpower+Correlation,arousal,0.888888888888889,0.8,120
RelativeBandpower+Correlation,dominance,0.9237668161434976,0.8583333333333333,120
RelativeBandpower+Correlation,valence,0.8571428571428571,0.75,120
RelativeBandpower+MutualInfo,arousal,0.888888888888889,0.8,120
RelativeBandpower+MutualInfo,dominance,0.9237668161434976,0.8583333333333333,120
RelativeBandpower+MutualInfo,valence,0.8571428571428571,0.75,120
RelativeBandpower+PLI,arousal,0.888888888888889,0.8,120
RelativeBandpower+PLI,dominance,0.9237668161434976,0.8583333333333333,120
RelativeBandpower+PLI,valence,0.8571428571428571,0.75,120
RelativeBandpower+PLV,arousal,0.888888888888889,0.8,120
RelativeBandpower+PLV,dominance,0.9237668161434976,0.8583333333333333,120
RelativeBandpower+PLV,valence,0.8571428571428571,0.75,120
SpectralEntropy+AEC,arousal,0.888888888888889,0.8,120
SpectralEntropy+AEC,dominance,0.9237668161434976,0.8583333333333333,120
SpectralEntropy+AEC,valence,0.8571428571428571,0.75,120
SpectralEntropy+Coherence,arousal,0.888888888888889,0.8,120
SpectralEntropy+Coherence,dominance,0.9237668161434976,0.8583333333333333,120
SpectralEntropy+Coherence,valence,0.8571428571428571,0.75,120
SpectralEntropy+Correlation,arousal,0.888888888888889,0.8,120
SpectralEntropy+Correlation,dominance,0.9237668161434976,0.8583333333333333,120
SpectralEntropy+Correlation,valence,0.8571428571428571,0.75,120
SpectralEntropy+MutualInfo,arousal,0.888888888888889,0.8,120
SpectralEntropy+MutualInfo,dominance,0.9237668161434976,0.8583333333333333,120
SpectralEntropy+MutualInfo,valence,0.8571428571428571,0.75,120
SpectralEntropy+PLI,arousal,0.888888888888889,0.8,120
SpectralEntropy+PLI,dominance,0.9237668161434976,0.8583333333333333,120
SpectralEntropy+PLI,valence,0.8571428571428571,0.75,120
SpectralEntropy+PLV,arousal,0.888888888888889,0.8,120
SpectralEntropy+PLV,dominance,0.9237668161434976,0.8583333333333333,120
SpectralEntropy+PLV,valence,0.8571428571428571,0.75,120
WaveletEnergy+AEC,arousal,0.888888888888889,0.8,120
WaveletEnergy+AEC,dominance,0.9237668161434976,0.8583333333333333,120
WaveletEnergy+AEC,valence,0.8695652173913044,0.775,120
WaveletEnergy+Coherence,arousal,0.888888888888889,0.8,120
WaveletEnergy+Coherence,dominance,0.9237668161434976,0.8583333333333333,120
WaveletEnergy+Coherence,valence,0.8571428571428571,0.75,120
WaveletEnergy+Correlation,arousal,0.888888888888889,0.8,120
WaveletEnergy+Correlation,dominance,0.9237668161434976,0.8583333333333333,120
WaveletEnergy+Correlation,valence,0.845771144278607,0.7416666666666667,120
WaveletEnergy+MutualInfo,arousal,0.888888888888889,0.8,120
WaveletEnergy+MutualInfo,dominance,0.9237668161434976,0.8583333333333333,120
WaveletEnergy+MutualInfo,valence,0.8516746411483254,0.7416666666666667,120
WaveletEnergy+PLI,arousal,0.888888888888889,0.8,120
WaveletEnergy+PLI,dominance,0.9237668161434976,0.8583333333333333,120
WaveletEnergy+PLI,valence,0.8571428571428571,0.75,120
WaveletEnergy+PLV,arousal,0.888888888888889,0.8,120
WaveletEnergy+PLV,dominance,0.9237668161434976,0.8583333333333333,120
WaveletEnergy+PLV,valence,0.8571428571428571,0.75,120
