file,Frontal,Central,Temporal,Parietal,Occipital
agg_subj11_arousal_Lorentzian+Coherence.pkl,0.27422482437557644,0.2761122243744986,0.27616752684116364,0.2754152781433529,0.2749803960323334
agg_subj9_dominance_WaveletEnergy+AEC.pkl,0.2766202522648705,0.2765061685017177,0.2709057182073593,0.276313841342926,0.27469249367713927
agg_subj27_valence_Lorentzian+AEC.pkl,0.2762024733755324,0.27402240463665556,0.275443434715271,0.2735033267074161,0.27395941615104674
agg_subj29_dominance_Hjorth+PLI.pkl,0.3944113817479875,0.39550831062453135,0.3991277664899826,0.39185960094134015,0.3939696192741394
agg_subj13_valence_SpectralEntropy+PLV.pkl,0.2709478172991011,0.2698129543236324,0.27333199977874756,0.26816554533110726,0.2658346951007843
agg_subj17_valence_DifferentialEntropy+Correlation.pkl,0.27929630875587463,0.26836964062282015,0.26895956695079803,0.2743700047334035,0.284016889333725
agg_subj17_dominance_Bandpower+MutualInfo.pkl,0.27557163106070626,0.2722341758864267,0.2744244188070297,0.27590936091211105,0.2758549928665161
agg_subj9_dominance_FractalDimension+Coherence.pkl,0.26663028531604344,0.266768821648189,0.26944437623023987,0.27043642931514317,0.2743126690387726
agg_subj13_arousal_DifferentialEntropy+PLV.pkl,0.2768259445826213,0.2731650727135794,0.28134675323963165,0.2748114864031474,0.27658994793891906
agg_subj0_valence_FractalDimension+Coherence.pkl,0.274639755487442,0.27059491191591534,0.2677735537290573,0.27060384551684064,0.2695410788059235
agg_subj29_arousal_RelativeBandpower+Correlation.pkl,0.27404676874478656,0.2761602784906115,0.2748071104288101,0.27390895618332756,0.27155081629753114
agg_subj1_valence_Hjorth+Correlation.pkl,0.28142328725920784,0.2768085811819349,0.2839372754096985,0.27894768449995255,0.2766400992870331
agg_subj14_valence_RelativeBandpower+PLI.pkl,0.27666768100526595,0.27776078241212027,0.2765923887491226,0.2745254271560245,0.2733135879039764
agg_subj0_valence_RelativeBandpower+Coherence.pkl,0.2749863896105025,0.2761215397289821,0.27566757798194885,0.2741709285312229,0.2772460341453552
agg_subj28_arousal_RelativeBandpower+MutualInfo.pkl,0.27411220139927334,0.2754946393626077,0.27828387916088104,0.2734966112507714,0.2753776550292969
agg_subj0_arousal_SpectralEntropy+PLI.pkl,0.2724602454238468,0.2652604877948761,0.2797805666923523,0.26777761512332493,0.26895342469215394
agg_subj5_valence_WaveletEnergy+MutualInfo.pkl,0.2735479573408763,0.2741775597844805,0.2786782681941986,0.27717967828114826,0.27455373406410216
agg_subj29_valence_RelativeBandpower+AEC.pkl,0.2769915097289615,0.2761528023651668,0.2718930244445801,0.2754584087265862,0.2724613308906555
agg_subj6_valence_RelativeBandpower+PLV.pkl,0.2764096226957109,0.27341084820883615,0.270914763212204,0.27432991067568463,0.27235003709793093
agg_subj30_valence_DifferentialEntropy+PLI.pkl,0.274313747882843,0.2768142265932901,0.27820709347724915,0.27691778871748185,0.28239649534225464
agg_subj4_dominance_RelativeBandpower+Coherence.pkl,0.2757442262437608,0.27794815812792095,0.27604520320892334,0.27651835481325787,0.2757232844829559
agg_subj4_arousal_Hjorth+Correlation.pkl,0.26641909612549675,0.27212266836847576,0.27275264263153076,0.2711411946349674,0.2714287579059601
agg_subj22_arousal_FractalDimension+PLI.pkl,0.26560473442077637,0.26778832503727507,0.27225612103939056,0.27039992147021824,0.26680428981781007
agg_subj20_dominance_WaveletEnergy+MutualInfo.pkl,0.27483578854137,0.27597011838640484,0.2763485312461853,0.27414560317993164,0.27273480892181395
agg_subj27_dominance_Hjorth+Correlation.pkl,0.3377653658390045,0.3390467507498605,0.35842032730579376,0.3415253559748332,0.3504411280155182
agg_subj4_arousal_RelativeBandpower+MutualInfo.pkl,0.27643393807941014,0.2747214947428022,0.2734541743993759,0.27399420407083297,0.27235408425331115
agg_subj23_dominance_FractalDimension+MutualInfo.pkl,0.29393285181787276,0.31998268195561,0.30871880054473877,0.3153519796000587,0.32466439008712766
agg_subj16_valence_Hjorth+MutualInfo.pkl,0.31277429064114887,0.3315326188291822,0.33561575412750244,0.3264559010664622,0.33249744176864626
agg_subj20_valence_DifferentialEntropy+MutualInfo.pkl,0.27883584300676983,0.2778415765081133,0.27570994198322296,0.2759622501002418,0.27959163784980773
agg_subj26_arousal_WaveletEnergy+AEC.pkl,0.2735001179907057,0.2750536927155086,0.27327457070350647,0.2752316329214308,0.2757192194461823
agg_subj17_arousal_RelativeBandpower+PLI.pkl,0.2758939762910207,0.2738128772803715,0.27536365389823914,0.27703702118661666,0.27455666065216067
agg_subj24_valence_FractalDimension+PLV.pkl,0.2705570525593228,0.26741603868348257,0.270850345492363,0.273126741250356,0.26917462348937987
agg_subj13_arousal_Bandpower+MutualInfo.pkl,0.2740427321857876,0.27560717293194364,0.27352389693260193,0.27571893731753033,0.2794316470623016
agg_subj30_arousal_WaveletEnergy+Correlation.pkl,0.27351392308870953,0.27336051208632334,0.2755405902862549,0.2736101912127601,0.2752953231334686
agg_subj20_dominance_DifferentialEntropy+Coherence.pkl,0.27525796824031407,0.2731154816491263,0.27653588354587555,0.2758741643693712,0.27106048464775084
agg_subj25_dominance_DifferentialEntropy+AEC.pkl,0.28678302301300895,0.2742368791784559,0.27656202018260956,0.274712731440862,0.2653772234916687
agg_subj15_valence_SpectralEntropy+MutualInfo.pkl,0.29569002323680454,0.3192263203007834,0.30699323117733,0.31609876950581867,0.3283296227455139
agg_subj11_arousal_FractalDimension+Correlation.pkl,0.2659736971060435,0.26397294657570974,0.2532649412751198,0.2649756719668706,0.27156028151512146
agg_subj3_arousal_FractalDimension+MutualInfo.pkl,0.29709786507818436,0.31715372630528044,0.3015896826982498,0.322149889336692,0.3293160259723663
agg_subj2_arousal_WaveletEnergy+Coherence.pkl,0.2748298976156447,0.2752462497779301,0.27344268560409546,0.27445249756177265,0.2752188861370087
agg_subj24_valence_Lorentzian+AEC.pkl,0.27264748679267037,0.27527145402772085,0.27210894227027893,0.27162367436620927,0.2743235766887665
agg_subj18_valence_Lorentzian+PLV.pkl,0.27420280045933193,0.2741801653589521,0.275982603430748,0.27651413281758624,0.27606908082962034
agg_subj7_arousal_RelativeBandpower+Coherence.pkl,0.27496974335776436,0.27742492301123484,0.27677251398563385,0.2738856507672204,0.2737943232059479
agg_subj13_arousal_Lorentzian+AEC.pkl,0.2763514154487186,0.2732639397893633,0.27791230380535126,0.2752809127171834,0.2774709165096283
agg_subj10_dominance_WaveletEnergy+AEC.pkl,0.27484984199206036,0.27518155745097567,0.27128171920776367,0.27369436290529037,0.2729291498661041
agg_subj0_dominance_RelativeBandpower+MutualInfo.pkl,0.27664300468232894,0.2774352218423571,0.272373765707016,0.27429219086964923,0.2771683096885681
agg_subj30_valence_FractalDimension+MutualInfo.pkl,0.3037146594789293,0.32421294280460905,0.30488573014736176,0.31700053479936385,0.32662829756736755
agg_subj30_valence_RelativeBandpower+MutualInfo.pkl,0.2768041325940026,0.2735830077103206,0.2748786211013794,0.2719164821836684,0.27195203900337217
agg_subj14_dominance_RelativeBandpower+MutualInfo.pkl,0.2751253479056888,0.2757859102317265,0.2765122950077057,0.27713557415538365,0.2743222534656525
agg_subj4_arousal_SpectralEntropy+PLV.pkl,0.2634601328108046,0.2634549992425101,0.2600747048854828,0.2706603871451484,0.26211926341056824
agg_subj8_dominance_DifferentialEntropy+Correlation.pkl,0.2811818089750078,0.28688046761921476,0.27276603877544403,0.28176495763990617,0.27972652912139895
agg_subj14_arousal_SpectralEntropy+Correlation.pkl,0.27125828133689034,0.2695405866418566,0.26944054663181305,0.2791222400135464,0.2828655481338501
agg_subj4_valence_Bandpower+AEC.pkl,0.274603052271737,0.2735117162976946,0.2775860130786896,0.27291595604684615,0.27303543090820315
agg_subj11_valence_FractalDimension+AEC.pkl,0.28010871675279403,0.27106987152780804,0.26703715324401855,0.27090883255004883,0.2693806797266006
agg_subj30_dominance_Hjorth+Correlation.pkl,0.309999492433336,0.3119298091956547,0.3221723288297653,0.3066214885976579,0.30946404337882993
agg_subj20_valence_Hjorth+PLV.pkl,0.26929541097746956,0.26975532940455843,0.25880686938762665,0.27169688211547005,0.2695280432701111
agg_subj31_dominance_FractalDimension+Coherence.pkl,0.2675892677572038,0.2770629950932094,0.27682429552078247,0.26735802822642857,0.2647393047809601
agg_subj0_arousal_RelativeBandpower+MutualInfo.pkl,0.27614298794004655,0.2741640167576926,0.2752543240785599,0.2758805188867781,0.2735009789466858
agg_subj29_arousal_DifferentialEntropy+PLI.pkl,0.2711687849627601,0.27253405111176626,0.2884519398212433,0.27773602141274345,0.28056185245513915
agg_subj24_valence_Lorentzian+PLV.pkl,0.271919051806132,0.27372440695762634,0.26992328464984894,0.2752649452951219,0.2751484513282776
agg_subj6_valence_WaveletEnergy+AEC.pkl,0.2713710798157586,0.2734244040080479,0.27761971950531006,0.2747597297032674,0.2724065363407135
agg_subj13_arousal_Lorentzian+Correlation.pkl,0.2744223972161611,0.2740079845700945,0.2816876471042633,0.2736683123641544,0.27415544390678404
agg_subj25_dominance_SpectralEntropy+AEC.pkl,0.28104360898335773,0.2689931648118155,0.27196040749549866,0.2703994810581207,0.26864081621170044
agg_subj3_dominance_Lorentzian+PLV.pkl,0.272912151283688,0.27487288628305706,0.2729745954275131,0.2746129300859239,0.27409180998802185
agg_subj9_dominance_Hjorth+MutualInfo.pkl,0.30918140874968636,0.31250177536691937,0.3189067244529724,0.3113812340630425,0.3233006238937378
agg_subj20_dominance_FractalDimension+PLV.pkl,0.25971870289908516,0.27009754521506174,0.2639687806367874,0.2671101623111301,0.2636229932308197
agg_subj31_valence_WaveletEnergy+AEC.pkl,0.2729011807176802,0.2751667286668505,0.27717307209968567,0.2727671199374729,0.27638251185417173
agg_subj12_arousal_WaveletEnergy+AEC.pkl,0.27376867996321785,0.2734528269086565,0.2735896110534668,0.2752262122101254,0.27537955045700074
agg_subj23_arousal_Hjorth+Correlation.pkl,0.3165932264592912,0.32923238618033274,0.3380499333143234,0.32493411832385594,0.3118144154548645
agg_subj31_arousal_WaveletEnergy+Correlation.pkl,0.27409793933232623,0.2744562711034502,0.27565209567546844,0.2738071448273129,0.27470701932907104
agg_subj13_valence_Bandpower+PLI.pkl,0.27293789717886185,0.27583572268486023,0.27460014820098877,0.27451363537046647,0.27697688341140747
agg_subj12_dominance_Bandpower+MutualInfo.pkl,0.27492767241266036,0.27339285612106323,0.27726781368255615,0.27580173479186165,0.27656638622283936
agg_subj13_arousal_RelativeBandpower+Correlation.pkl,0.27414965629577637,0.2769568307059152,0.2795401066541672,0.2740703026453654,0.2751453876495361
agg_subj6_dominance_Bandpower+PLI.pkl,0.27339187264442444,0.2758775906903403,0.2790609151124954,0.2754985988140106,0.27617391347885134
agg_subj3_valence_RelativeBandpower+PLV.pkl,0.27335771256022984,0.2757796687739236,0.27356117963790894,0.272431602080663,0.27454981207847595
agg_subj27_arousal_WaveletEnergy+PLV.pkl,0.27357489201757645,0.2750856876373291,0.2725972682237625,0.27310844262441,0.2760997235774994
agg_subj19_dominance_Bandpower+PLI.pkl,0.2741953465673659,0.27138197847775053,0.2730322778224945,0.27499481042226154,0.27522688508033755
agg_subj18_dominance_SpectralEntropy+AEC.pkl,0.2766773733827803,0.2681974598339626,0.26328228414058685,0.2644148568312327,0.26589898467063905
agg_subj14_valence_Lorentzian+MutualInfo.pkl,0.27462363574239945,0.27554164613996235,0.2771870940923691,0.275465233458413,0.27673048377037046
